taxonkey	decimallongitude	decimallatitude	countrycode	basis	source
4170327	-83.85	9.65	CRI	H	GBIF
2925527	-121.942222	39.464444	USA	H	GBIF
5371727	-122.338889	38.873333	USA	H	GBIF
5289461	-122.343889	38.867778	USA	H	GBIF
2925519	-121.871944	38.688056	USA	H	GBIF
2984583	-85.61	10.83	CRI	H	GBIF
2984583	-85.65	10.8	CRI	H	GBIF
3743287	-88.716667	16.55	BLZ	H	GBIF
4170327	-83.78	9.6	CRI	H	GBIF
3743287	-88.716667	16.55	BLZ	H	GBIF
3743287	-88.716667	16.55	BLZ	H	GBIF
4170327	-83.68	9.55	CRI	H	GBIF
4170327	-83.66	9.56	CRI	H	GBIF
4170327	-82.81	9.03	PAN	H	GBIF
4170327	-82.81	9.02	CRI	H	GBIF
4170327	-83.65	9.58	CRI	H	GBIF
4170327	-83.72	9.55	CRI	H	GBIF
4170327	-83.76	9.58	CRI	H	GBIF
2945063	-82.63	9.53	CRI	H	GBIF
2984583	-85.16	10.5	CRI	H	GBIF
4170327	-83.7	9.56	CRI	H	GBIF
4170327	-83.7	9.53	CRI	H	GBIF
4170327	-83.86	9.67	CRI	H	GBIF
4170327	-83.81	9.61	CRI	H	GBIF
4170327	-83.71	9.56	CRI	H	GBIF
4170327	-83.68	9.55	CRI	H	GBIF
4170327	-83.68	9.55	CRI	H	GBIF
4170327	-83.66	9.56	CRI	H	GBIF
4170327	-83.76	9.56	CRI	H	GBIF
4170327	-83.68	9.55	CRI	H	GBIF
4170327	-83.52	10.45	CRI	H	GBIF
4170327	-83.75	9.57	CRI	H	GBIF
4170327	-83.97	9.74	CRI	H	GBIF
4170327	-83.75	9.56	CRI	H	GBIF
2984583	-84.8	10.3	CRI	H	GBIF
4170327	-83.72	9.55	CRI	H	GBIF
4170327	-83.72	9.55	CRI	H	GBIF
2984583	-83.58	8.46	CRI	H	GBIF
4170327	-83.83	9.95	CRI	H	GBIF
2984583	-84.37	9.72	CRI	H	GBIF
2984583	-84.6	9.76	CRI	H	GBIF
2984583	-84.14	9.91	CRI	H	GBIF
2984583	-83.34	8.41	CRI	H	GBIF
2984583	-85.13	10.27	CRI	H	GBIF
4170327	-83.77	10.0	CRI	H	GBIF
2984583	-85.61	10.83	CRI	H	GBIF
2984583	-85.65	10.79	CRI	H	GBIF
4170327	-84.1	10.13	CRI	H	GBIF
2984583	-84.19	9.97	CRI	H	GBIF
2984583	-85.31	10.38	CRI	H	GBIF
2984583	-85.34	9.84	CRI	H	GBIF
5372406	-122.099444	38.5025	USA	H	GBIF
5372406	-122.099444	38.5025	USA	H	GBIF
2984583	-83.41	8.64	CRI	H	GBIF
2984583	-84.18	9.98	CRI	H	GBIF
2984583	-84.9	9.76	CRI	H	GBIF
2984583	-85.36	10.16	CRI	H	GBIF
2945063	-85.41	10.34	CRI	H	GBIF
4170327	-83.78	9.6	CRI	H	GBIF
4170327	-83.91	9.7	CRI	H	GBIF
2984583	-85.73	10.9	CRI	H	GBIF
4170327	-84.12	9.84	CRI	H	GBIF
4170327	-84.1	9.82	CRI	H	GBIF
4170327	-83.59	9.52	CRI	H	GBIF
4170327	-83.68	9.55	CRI	H	GBIF
4170327	-83.85	9.62	CRI	H	GBIF
2984583	-85.46	12.11	NIC	H	GBIF
2984583	-86.38	12.11	NIC	H	GBIF
2984583	-89.88	18.44	MEX	H	GBIF
4170327	-83.68	9.57	CRI	H	GBIF
4170327	-83.73	9.57	CRI	H	GBIF
4170327	-83.73	9.57	CRI	H	GBIF
4170327	-83.94	9.7	CRI	H	GBIF
2984583	-83.21	8.68	CRI	H	GBIF
5372406	-122.099444	38.5025	USA	H	GBIF
4170327	-83.88	9.66	CRI	H	GBIF
5372406	-122.338889	38.873333	USA	H	GBIF
3089154	-122.376944	38.807222	USA	H	GBIF
2984583	-85.34	10.34	CRI	H	GBIF
4170327	-83.75	9.55	CRI	H	GBIF
4170327	-83.9	9.69	CRI	H	GBIF
3157107	-88.7	16.55	BLZ	H	GBIF
3157107	-88.716667	16.55	BLZ	H	GBIF
5372420	-110.880556	31.731111	USA	H	GBIF
4170327	-83.86	9.61	CRI	H	GBIF
5372420	-110.880556	31.731111	USA	H	GBIF
5372420	-110.880556	31.731111	USA	H	GBIF
5372420	-110.8925	31.370833	USA	H	GBIF
5372420	-110.8925	31.370833	USA	H	GBIF
5372420	-110.663056	31.457222	USA	H	GBIF
5372420	-109.358889	31.976389	USA	H	GBIF
5372420	-109.328611	31.971111	USA	H	GBIF
5372420	-109.301944	31.944722	USA	H	GBIF
5372420	-109.265278	31.931389	USA	H	GBIF
5372420	-109.373333	33.150556	USA	H	GBIF
5372420	-109.369722	33.157778	USA	H	GBIF
5372420	-109.381111	33.183333	USA	H	GBIF
5372420	-109.385556	33.186389	USA	H	GBIF
5372420	-109.793333	32.562222	USA	H	GBIF
5372420	-109.813611	32.57	USA	H	GBIF
5372420	-109.794722	32.5625	USA	H	GBIF
5372420	-110.7	32.363611	USA	H	GBIF
2761352	-84.61	9.96	CRI	H	GBIF
2761352	-85.66	10.53	CRI	H	GBIF
2885232	-85.76	10.26	CRI	H	GBIF
2761352	-84.72	9.96	CRI	H	GBIF
2885232	-85.66	10.8	CRI	H	GBIF
2885232	-85.61	10.85	CRI	H	GBIF
2761352	-84.55	9.9	CRI	H	GBIF
2885232	-85.63	11.06	CRI	H	GBIF
2761352	-85.61	10.83	CRI	H	GBIF
2885232	-85.61	10.85	CRI	H	GBIF
2761352	-85.63	10.8	CRI	H	GBIF
2885232	-85.61	10.83	CRI	H	GBIF
3061115	-83.13	8.63	CRI	H	GBIF
2761352	-84.9	9.95	CRI	H	GBIF
2885232	-83.0	9.0	CRI	H	GBIF
2885232	-83.0	10.0	CRI	H	GBIF
2885232	-85.0	10.0	CRI	H	GBIF
2885232	-85.0	10.0	CRI	H	GBIF
2885232	-84.18	9.93	CRI	H	GBIF
2885232	-84.0	10.0	CRI	H	GBIF
3061115	-82.93	8.68	CRI	H	GBIF
3061115	-84.46	10.86	CRI	H	GBIF
3061115	-83.41	10.03	CRI	H	GBIF
2885232	-82.76	9.63	CRI	H	GBIF
3061115	-84.04	9.49	CRI	H	GBIF
3061115	-83.93	10.31	CRI	H	GBIF
3061115	-84.39	9.68	CRI	H	GBIF
2885232	-85.35	10.8	CRI	H	GBIF
2761352	-85.52	9.92	CRI	H	GBIF
3061115	-83.44	8.73	CRI	H	GBIF
2885232	-85.33	10.77	CRI	H	GBIF
3061115	-83.05	9.43	CRI	H	GBIF
2761352	-85.65	10.79	CRI	H	GBIF
2761352	-85.28	10.36	CRI	H	GBIF
2885232	-83.21	8.69	CRI	H	GBIF
2761352	-85.61	10.83	CRI	H	GBIF
2885232	-85.36	9.84	CRI	H	GBIF
3061115	-83.21	8.68	CRI	H	GBIF
2761352	-85.62	10.83	CRI	H	GBIF
2761352	-85.38	9.86	CRI	H	GBIF
2761352	-85.33	10.35	CRI	H	GBIF
2761352	-85.36	10.44	CRI	H	GBIF
2761352	-85.42	10.99	CRI	H	GBIF
2761352	-85.37	10.17	CRI	H	GBIF
2885232	-85.34	10.75	CRI	H	GBIF
3061115	-83.25	8.76	CRI	H	GBIF
2885232	-85.73	10.92	CRI	H	GBIF
2885232	-84.83	10.26	CRI	H	GBIF
2761352	-85.76	10.92	CRI	H	GBIF
2885232	-84.23	9.93	CRI	H	GBIF
2885232	-84.27	9.9	CRI	H	GBIF
2761352	-85.73	10.89	CRI	H	GBIF
2885232	-89.82	18.27	MEX	H	GBIF
2885232	-84.31	10.87	CRI	H	GBIF
2761352	-84.7	9.86	CRI	H	GBIF
2761352	-84.07	10.33	CRI	H	GBIF
3061115	-84.56	9.77	CRI	H	GBIF
3061115	-83.37	9.99	CRI	H	GBIF
3061115	-83.21	8.68	CRI	H	GBIF
3061115	-84.23	9.71	CRI	H	GBIF
2761352	-84.54	9.92	CRI	H	GBIF
2885232	-89.39	18.73	MEX	H	GBIF
3061115	-84.6	9.78	CRI	H	GBIF
3061115	-83.2	8.67	CRI	H	GBIF
4073924	-84.01	10.43	CRI	H	GBIF
4073924	-83.81	10.18	CRI	H	GBIF
5549055	-83.16	8.63	CRI	H	GBIF
5549055	-83.58	8.69	CRI	H	GBIF
5549055	-84.73	10.31	CRI	H	GBIF
5549055	-84.73	10.32	CRI	H	GBIF
5549055	-83.37	8.77	CRI	H	GBIF
5549055	-83.51	8.55	CRI	H	GBIF
